Week,Day,Session,Order,Exercise,Sets,Reps,Intensity,Rest,Notes
2,Mon,Lower A: Glute & Hamstring Focus,1,Hip Thrust,5,8,RIR 2-3,2 min,Volume week. One more set than Week 1 across the board.
2,Mon,Lower A: Glute & Hamstring Focus,2,Romanian Deadlift,4,10,RIR 2-3,2 min,
2,Mon,Lower A: Glute & Hamstring Focus,3,Bulgarian Split Squat,4,10/side,RIR 2,90 sec,
2,Mon,Lower A: Glute & Hamstring Focus,4,Cable Glute Kickback,4,12-15,RIR 1-2,60 sec,
2,Mon,Lower A: Glute & Hamstring Focus,5,Seated Leg Curl,4,12,RIR 1-2,60 sec,
2,Tue,Upper A: Shoulders & Back,1,Lat Pulldown,5,10,RIR 2-3,2 min,
2,Tue,Upper A: Shoulders & Back,2,DB Shoulder Press,4,10,RIR 2-3,90 sec,
2,Tue,Upper A: Shoulders & Back,3,Cable Row,4,10,RIR 2,90 sec,
2,Tue,Upper A: Shoulders & Back,4,Lateral Raise,5,15,RIR 1-2,60 sec,
2,Tue,Upper A: Shoulders & Back,5,Rear Delt Fly,4,15,RIR 1-2,60 sec,
2,Wed,Rest,,,,,,,"Optional light zone 2 cardio, not progressed."
2,Thu,Lower B: Quad & Glute Secondary,1,Back Squat,5,8,RIR 2-3,2-3 min,
2,Thu,Lower B: Quad & Glute Secondary,2,Walking Lunge,4,10/side,RIR 2,90 sec,
2,Thu,Lower B: Quad & Glute Secondary,3,Leg Press (Feet High and Wide),4,12,RIR 2,90 sec,
2,Thu,Lower B: Quad & Glute Secondary,4,Hip Abduction Machine,4,15,RIR 1-2,60 sec,
2,Thu,Lower B: Quad & Glute Secondary,5,Standing Calf Raise,4,15,RIR 1-2,60 sec,
2,Fri,"Upper B: Chest, Arms & Core",1,Incline DB Press,5,10,RIR 2-3,2 min,
2,Fri,"Upper B: Chest, Arms & Core",2,Seated Row,4,10,RIR 2,90 sec,
2,Fri,"Upper B: Chest, Arms & Core",3,Bicep Curl,4,12,RIR 1-2,60 sec,
2,Fri,"Upper B: Chest, Arms & Core",4,Overhead Triceps Extension,4,12,RIR 1-2,60 sec,
2,Fri,"Upper B: Chest, Arms & Core",5,Cable Pallof Press,4,12/side,RIR 2,60 sec,
2,Sat,"Accessory: Glutes, Arms & Core",1,Cable Pull Through,4,12,RIR 2,90 sec,
2,Sat,"Accessory: Glutes, Arms & Core",2,Standing Hip Adduction,4,15,RIR 1-2,60 sec,
2,Sat,"Accessory: Glutes, Arms & Core",3,Seated Calf Raise,4,15,RIR 1-2,60 sec,
2,Sat,"Accessory: Glutes, Arms & Core",4,Cable Crunch,4,15,RIR 1-2,60 sec,
2,Sat,"Accessory: Glutes, Arms & Core",5,Hanging Knee Raise,4,12,RIR 1-2,60 sec,
2,Sat,"Accessory: Glutes, Arms & Core",6,Face Pull,4,15,RIR 1-2,60 sec,
2,Sat,"Accessory: Glutes, Arms & Core",7,Hammer Curl,3,12,RIR 1-2,45 sec,
2,Sat,"Accessory: Glutes, Arms & Core",8,Cable Triceps Kickback,3,12,RIR 1-2,45 sec,
2,Sun,Rest,,,,,,,
3,Mon,Lower A: Glute & Hamstring Focus,1,Hip Thrust,4,6,RIR 2,2 min,"Intensity week. Load goes up, reps come down, sets pull back from Week 2's peak volume."
3,Mon,Lower A: Glute & Hamstring Focus,2,Romanian Deadlift,3,8,RIR 2,2 min,
3,Mon,Lower A: Glute & Hamstring Focus,3,Bulgarian Split Squat,3,8/side,RIR 2,90 sec,
3,Mon,Lower A: Glute & Hamstring Focus,4,Cable Glute Kickback,3,12,RIR 1-2,60 sec,
3,Mon,Lower A: Glute & Hamstring Focus,5,Seated Leg Curl,3,10,RIR 1-2,60 sec,
3,Tue,Upper A: Shoulders & Back,1,Lat Pulldown,4,8,RIR 2,2 min,
3,Tue,Upper A: Shoulders & Back,2,DB Shoulder Press,3,8,RIR 2,90 sec,
3,Tue,Upper A: Shoulders & Back,3,Cable Row,3,8,RIR 2,90 sec,
3,Tue,Upper A: Shoulders & Back,4,Lateral Raise,4,12,RIR 1-2,60 sec,
3,Tue,Upper A: Shoulders & Back,5,Rear Delt Fly,3,12,RIR 1-2,60 sec,
3,Wed,Rest,,,,,,,"Optional light zone 2 cardio, not progressed."
3,Thu,Lower B: Quad & Glute Secondary,1,Back Squat,4,6,RIR 2,2-3 min,Heaviest work of the block.
3,Thu,Lower B: Quad & Glute Secondary,2,Walking Lunge,3,8/side,RIR 2,90 sec,
3,Thu,Lower B: Quad & Glute Secondary,3,Leg Press (Feet High and Wide),3,10,RIR 2,90 sec,
3,Thu,Lower B: Quad & Glute Secondary,4,Hip Abduction Machine,3,12,RIR 1-2,60 sec,
3,Thu,Lower B: Quad & Glute Secondary,5,Standing Calf Raise,3,12,RIR 1-2,60 sec,
3,Fri,"Upper B: Chest, Arms & Core",1,Incline DB Press,4,8,RIR 2,2 min,
3,Fri,"Upper B: Chest, Arms & Core",2,Seated Row,3,8,RIR 2,90 sec,
3,Fri,"Upper B: Chest, Arms & Core",3,Bicep Curl,3,10,RIR 1-2,60 sec,
3,Fri,"Upper B: Chest, Arms & Core",4,Overhead Triceps Extension,3,10,RIR 1-2,60 sec,
3,Fri,"Upper B: Chest, Arms & Core",5,Cable Pallof Press,3,10/side,RIR 2,60 sec,
3,Sat,"Accessory: Glutes, Arms & Core",1,Cable Pull Through,3,10,RIR 2,90 sec,
3,Sat,"Accessory: Glutes, Arms & Core",2,Standing Hip Adduction,3,12,RIR 1-2,60 sec,
3,Sat,"Accessory: Glutes, Arms & Core",3,Seated Calf Raise,3,12,RIR 1-2,60 sec,
3,Sat,"Accessory: Glutes, Arms & Core",4,Cable Crunch,3,12,RIR 1-2,60 sec,
3,Sat,"Accessory: Glutes, Arms & Core",5,Hanging Knee Raise,3,10,RIR 1-2,60 sec,
3,Sat,"Accessory: Glutes, Arms & Core",6,Face Pull,3,12,RIR 1-2,60 sec,
3,Sat,"Accessory: Glutes, Arms & Core",7,Hammer Curl,2,10,RIR 1-2,45 sec,
3,Sat,"Accessory: Glutes, Arms & Core",8,Cable Triceps Kickback,2,10,RIR 1-2,45 sec,
3,Sun,Rest,,,,,,,
4,Mon,Lower A: Glute & Hamstring Focus,1,Hip Thrust,2,8,RIR 4-5,90 sec,"Deload. Volume down roughly 40-50%, movement frequency held so nothing goes rusty."
4,Mon,Lower A: Glute & Hamstring Focus,2,Romanian Deadlift,2,10,RIR 4-5,90 sec,
4,Mon,Lower A: Glute & Hamstring Focus,3,Bulgarian Split Squat,2,10/side,RIR 4-5,60 sec,
4,Mon,Lower A: Glute & Hamstring Focus,4,Seated Leg Curl,2,12,RIR 4-5,60 sec,
4,Tue,Upper A: Shoulders & Back,1,Lat Pulldown,2,10,RIR 4-5,90 sec,
4,Tue,Upper A: Shoulders & Back,2,DB Shoulder Press,2,10,RIR 4-5,60 sec,
4,Tue,Upper A: Shoulders & Back,3,Cable Row,2,10,RIR 4-5,60 sec,
4,Tue,Upper A: Shoulders & Back,4,Lateral Raise,2,15,RIR 4-5,45 sec,
4,Wed,Rest,,,,,,,Easy. Absorb the block.
4,Thu,Lower B: Quad & Glute Secondary,1,Back Squat,2,8,RIR 4-5,90 sec,
4,Thu,Lower B: Quad & Glute Secondary,2,Walking Lunge,2,10/side,RIR 4-5,60 sec,
4,Thu,Lower B: Quad & Glute Secondary,3,Leg Press (Feet High and Wide),2,12,RIR 4-5,60 sec,
4,Fri,"Upper B: Chest, Arms & Core",1,Incline DB Press,2,10,RIR 4-5,90 sec,
4,Fri,"Upper B: Chest, Arms & Core",2,Seated Row,2,10,RIR 4-5,60 sec,
4,Fri,"Upper B: Chest, Arms & Core",3,Bicep Curl,2,12,RIR 4-5,45 sec,
4,Sat,"Accessory: Glutes, Arms & Core",1,Cable Pull Through,2,12,RIR 4-5,60 sec,"Light touch. Movement stays sharp, not taxing."
4,Sat,"Accessory: Glutes, Arms & Core",2,Cable Crunch,2,15,RIR 4-5,45 sec,
4,Sat,"Accessory: Glutes, Arms & Core",3,Face Pull,2,15,RIR 4-5,45 sec,
4,Sun,Rest,,,,,,,
