Week,Day,Session,Order,Exercise,Sets,Reps,Intensity,Rest,Notes
3,Fri,Lower B,1,Deadlift,4,4,RIR 2,2-3 min,Heaviest work of the block.
3,Fri,Lower B,2,Split Squat,3,8/side,RIR 2,90 sec,
3,Fri,Lower B,3,Hip Thrust,3,8,RIR 2,90 sec,
3,Fri,Lower B,4,Leg Extension,3,10,RIR 1-2,60 sec,
3,Fri,Lower B,5,Standing Calf Raise,3,12,RIR 1-2,60 sec,
3,Sat,Upper B,1,Weighted Pull Up,4,6,RIR 2,2-3 min,
3,Sat,Upper B,2,Incline DB Press,4,8,RIR 2,2 min,
3,Sat,Upper B,3,Cable Row,3,8,RIR 2,90 sec,
3,Sat,Upper B,4,Arnold Press,3,8,RIR 2,90 sec,
3,Sat,Upper B,5,Bicep Curl,3,10,RIR 1-2,60 sec,
3,Sat,Upper B,6,Face Pull,3,12,RIR 1-2,60 sec,
3,Sun,Rest,,,,,,,
4,Mon,Lower A,1,Back Squat,2,8,RIR 4-5,2 min,"Deload. Volume down roughly 40-50%, movement frequency held so nothing goes rusty."
4,Mon,Lower A,2,Romanian Deadlift,2,10,RIR 4-5,90 sec,
4,Mon,Lower A,3,Leg Press,2,12,RIR 4-5,60 sec,
4,Mon,Lower A,4,Leg Curl,2,12,RIR 4-5,60 sec,
4,Tue,Aerobic Capacity,1,Zone 2 Cardio (bike/row/run),1,25 min,~60-70% max HR,,Easy. Absorb the block.
4,Wed,Upper A,1,Bench Press,2,8,RIR 4-5,2 min,
4,Wed,Upper A,2,Seated Row,2,10,RIR 4-5,90 sec,
4,Wed,Upper A,3,DB Shoulder Press,2,10,RIR 4-5,60 sec,
4,Wed,Upper A,4,Lat Pulldown,2,12,RIR 4-5,60 sec,
4,Thu,Anaerobic Capacity,1,Intervals (bike/shuttle),4,30 sec easy-moderate / 90 sec easy,Light touch,,"Movement stays sharp, not taxing."
4,Fri,Lower B,1,Deadlift,2,6,RIR 4-5,2 min,
4,Fri,Lower B,2,Split Squat,2,10/side,RIR 4-5,90 sec,
4,Fri,Lower B,3,Hip Thrust,2,10,RIR 4-5,60 sec,
4,Sat,Upper B,1,Weighted Pull Up,2,8,RIR 4-5,2 min,Bodyweight only if loaded pull ups feel heavy this week.
4,Sat,Upper B,2,Incline DB Press,2,10,RIR 4-5,90 sec,
4,Sat,Upper B,3,Cable Row,2,10,RIR 4-5,60 sec,
4,Sun,Rest,,,,,,,
