Week,Day,Session,Order,Exercise,Sets,Reps,Intensity,Rest,Notes
6,Sun,Deadlift Speed & Technical,3,Lat Pulldown,3,8,RIR 3,90 sec,
6,Sun,Deadlift Speed & Technical,4,Band Pull-Apart,3,15,RIR 3,60 sec,
6,Mon,Posterior Chain & Grip,1,Romanian Deadlift,4,8,RIR 2-3,2-3 min,
6,Mon,Posterior Chain & Grip,2,Hip Thrust,4,8,RIR 2-3,2 min,
6,Mon,Posterior Chain & Grip,3,Back Extension,4,10,RIR 2-3,90 sec,
6,Mon,Posterior Chain & Grip,4,Farmer's Carry,3,40m,RIR 2-3,90 sec,
6,Mon,Posterior Chain & Grip,5,Dead Hang,3,30 sec,RIR 2-3,60 sec,
6,Tue,Upper Body & Core,1,Bench Press,5,5,RIR 3,2-3 min,
6,Tue,Upper Body & Core,2,DB Shoulder Press,4,6,RIR 3,2 min,
6,Tue,Upper Body & Core,3,Ab Wheel Rollout,4,8,RIR 3,90 sec,
6,Tue,Upper Body & Core,4,Zone 2 Cardio (bike/row),1,18 min,~60-70% max HR,,
6,Wed,Rest,,,,,,,
7,Thu,Heavy Deadlift Strength,1,Competition Deadlift,1,2,88% (233kg) RIR 1-2,4 min,"Intensity peak of the block. This double should be hard but the bar speed should still be under control - if it grinds, that's the ceiling for today."
7,Thu,Heavy Deadlift Strength,1b,Competition Deadlift (backoff),3,2,78% (207kg),3 min,
7,Thu,Heavy Deadlift Strength,2,Pause Deadlift (2ct below knee),3,2,70% (186kg) RIR 2,3 min,
7,Thu,Heavy Deadlift Strength,3,Pendlay Row,3,4,RIR 2,2 min,
7,Thu,Heavy Deadlift Strength,4,Suitcase Carry,3,40m/side,RIR 2,90 sec,
7,Fri,Squat & Quad,1,Back Squat,3,4,RIR 1-2,3 min,
7,Fri,Squat & Quad,1b,Back Squat (backoff),2,4,RIR 3,2-3 min,
7,Fri,Squat & Quad,2,Bulgarian Split Squat,3,6/side,RIR 2,2 min,
7,Fri,Squat & Quad,3,Leg Curl,3,8,RIR 2,90 sec,
7,Fri,Squat & Quad,4,Standing Calf Raise,3,10,RIR 2,60 sec,
7,Sat,Rest,,,,,,,
7,Sun,Deadlift Speed & Technical,1,Speed Deadlift (bands),8,1,62% (164kg) + heavy band,60 sec,
7,Sun,Deadlift Speed & Technical,2,Rack Pull (top-half; from knee),3,2,RIR 1-2,2-3 min,
7,Sun,Deadlift Speed & Technical,3,Lat Pulldown,3,6,RIR 2,90 sec,
7,Sun,Deadlift Speed & Technical,4,Band Pull-Apart,3,15,RIR 3,60 sec,
7,Mon,Posterior Chain & Grip,1,Romanian Deadlift,3,6,RIR 1-2,2-3 min,
7,Mon,Posterior Chain & Grip,2,Hip Thrust,3,6,RIR 1-2,2 min,
7,Mon,Posterior Chain & Grip,3,Back Extension,3,8,RIR 1-2,90 sec,
7,Mon,Posterior Chain & Grip,4,Farmer's Carry,3,45m,RIR 1-2,90 sec,
7,Mon,Posterior Chain & Grip,5,Dead Hang,3,35 sec,RIR 1-2,60 sec,
7,Tue,Upper Body & Core,1,Bench Press,3,4,RIR 1-2,2-3 min,
7,Tue,Upper Body & Core,2,DB Shoulder Press,3,5,RIR 2,2 min,
7,Tue,Upper Body & Core,3,Ab Wheel Rollout,3,8,RIR 2,90 sec,
7,Tue,Upper Body & Core,4,Zone 2 Cardio (bike/row),1,20 min,~60-70% max HR,,
7,Wed,Rest,,,,,,,
8,Thu,Heavy Deadlift Strength,1,Competition Deadlift,3,2,70% (186kg) RIR 4-5,3 min,"Deload. Same principle as Week 4 - volume down hard, let the block's work absorb."
8,Thu,Heavy Deadlift Strength,2,Pause Deadlift (2ct below knee),2,2,60% (159kg) RIR 4-5,2-3 min,
8,Thu,Heavy Deadlift Strength,3,Pendlay Row,2,5,RIR 4-5,90 sec,
8,Thu,Heavy Deadlift Strength,4,Suitcase Carry,2,25m/side,RIR 4-5,60 sec,
8,Fri,Squat & Quad,1,Back Squat,3,4,RIR 5,2-3 min,
8,Fri,Squat & Quad,2,Bulgarian Split Squat,2,6/side,RIR 5,90 sec,
8,Fri,Squat & Quad,3,Leg Curl,2,8,RIR 5,60 sec,
8,Fri,Squat & Quad,4,Standing Calf Raise,2,10,RIR 5,60 sec,
8,Sat,Rest,,,,,,,
8,Sun,Deadlift Speed & Technical,1,Speed Deadlift (no bands),5,1,50% (132kg),45 sec,
8,Sun,Deadlift Speed & Technical,2,Rack Pull (top-half; from knee),2,3,RIR 5,90 sec,
8,Sun,Deadlift Speed & Technical,3,Lat Pulldown,2,8,RIR 5,60 sec,
8,Sun,Deadlift Speed & Technical,4,Band Pull-Apart,2,15,RIR 5,45 sec,
8,Mon,Posterior Chain & Grip,1,Romanian Deadlift,2,8,RIR 5,90 sec,
8,Mon,Posterior Chain & Grip,2,Hip Thrust,2,8,RIR 5,90 sec,
8,Mon,Posterior Chain & Grip,3,Back Extension,2,10,RIR 5,60 sec,
8,Mon,Posterior Chain & Grip,4,Farmer's Carry,2,30m,RIR 5,60 sec,
8,Mon,Posterior Chain & Grip,5,Dead Hang,2,20 sec,RIR 5,45 sec,
8,Tue,Upper Body & Core,1,Bench Press,3,6,RIR 5,2 min,Optional day - skip if recovery needs it more.
8,Tue,Upper Body & Core,2,DB Shoulder Press,2,8,RIR 5,90 sec,
8,Tue,Upper Body & Core,3,Ab Wheel Rollout,2,8,RIR 5,60 sec,
8,Tue,Upper Body & Core,4,Zone 2 Cardio (bike/row),1,15 min,~60-70% max HR,,
8,Wed,Rest,,,,,,,
