Week,Day,Session,Order,Exercise,Sets,Reps,Intensity,Rest,Notes
2,Wed,Rest,,,,,,,
3,Thu,Heavy Deadlift Strength,1,Competition Deadlift,1,1,83% (220kg) RIR 2,4 min,"Intensity peak of the block. One true top single, then back off - this is not a max attempt, stop at RIR 2."
3,Thu,Heavy Deadlift Strength,1b,Competition Deadlift (backoff),3,3,75% (199kg),3 min,
3,Thu,Heavy Deadlift Strength,2,Deadlift - 1in Deficit,3,2,68% (180kg) RIR 2,3 min,
3,Thu,Heavy Deadlift Strength,3,Pendlay Row,3,5,RIR 2,2 min,
3,Thu,Heavy Deadlift Strength,4,Suitcase Carry,3,30m/side,RIR 2,90 sec,
3,Fri,Squat & Quad,1,Back Squat,3,5,RIR 2,3 min,
3,Fri,Squat & Quad,1b,Back Squat (backoff),2,5,RIR 3,2-3 min,
3,Fri,Squat & Quad,2,Bulgarian Split Squat,3,8/side,RIR 2,2 min,
3,Fri,Squat & Quad,3,Leg Curl,3,10,RIR 2,90 sec,
3,Fri,Squat & Quad,4,Standing Calf Raise,3,12,RIR 2,60 sec,
3,Sat,Rest,,,,,,,
3,Sun,Deadlift Speed & Technical,1,Speed Deadlift (bands),8,1,55% (146kg) + moderate band,60 sec,"Band tension steps up this week - same bar speed intent, harder to produce it."
3,Sun,Deadlift Speed & Technical,2,Snatch-Grip RDL,3,6,RIR 2,2 min,
3,Sun,Deadlift Speed & Technical,3,Lat Pulldown,3,8,RIR 2,90 sec,
3,Sun,Deadlift Speed & Technical,4,Band Pull-Apart,3,15,RIR 3,60 sec,
3,Mon,Posterior Chain & Grip,1,Romanian Deadlift,3,6,RIR 2,2-3 min,
3,Mon,Posterior Chain & Grip,2,Hip Thrust,3,6,RIR 2,2 min,
3,Mon,Posterior Chain & Grip,3,Back Extension,3,10,RIR 2,90 sec,
3,Mon,Posterior Chain & Grip,4,Farmer's Carry,3,40m,RIR 2,90 sec,
3,Mon,Posterior Chain & Grip,5,Dead Hang,3,30 sec,RIR 2,60 sec,
3,Tue,Upper Body & Core,1,Bench Press,3,5,RIR 2,2-3 min,
3,Tue,Upper Body & Core,2,DB Shoulder Press,3,6,RIR 2,2 min,
3,Tue,Upper Body & Core,3,Ab Wheel Rollout,3,8,RIR 2,90 sec,
3,Tue,Upper Body & Core,4,Zone 2 Cardio (bike/row),1,20 min,~60-70% max HR,,
3,Wed,Rest,,,,,,,
4,Thu,Heavy Deadlift Strength,1,Competition Deadlift,3,3,65% (172kg) RIR 4-5,3 min,"Deload. Volume down roughly 50% off Week 3 - this is recovery, not another training stimulus. Do not chase intensity here."
4,Thu,Heavy Deadlift Strength,2,Deadlift - 1in Deficit,2,3,55% (146kg) RIR 4-5,2-3 min,
4,Thu,Heavy Deadlift Strength,3,Pendlay Row,2,6,RIR 4-5,90 sec,
4,Thu,Heavy Deadlift Strength,4,Suitcase Carry,2,20m/side,RIR 4-5,60 sec,
4,Fri,Squat & Quad,1,Back Squat,3,5,RIR 5,2-3 min,
4,Fri,Squat & Quad,2,Bulgarian Split Squat,2,8/side,RIR 5,90 sec,
4,Fri,Squat & Quad,3,Leg Curl,2,10,RIR 5,60 sec,
4,Fri,Squat & Quad,4,Standing Calf Raise,2,12,RIR 5,60 sec,
4,Sat,Rest,,,,,,,
4,Sun,Deadlift Speed & Technical,1,Speed Deadlift (no bands),5,1,45% (119kg),45 sec,"Light and fast - keep the movement pattern sharp, no fatigue."
4,Sun,Deadlift Speed & Technical,2,Snatch-Grip RDL,2,8,RIR 5,90 sec,
4,Sun,Deadlift Speed & Technical,3,Lat Pulldown,2,10,RIR 5,60 sec,
4,Sun,Deadlift Speed & Technical,4,Band Pull-Apart,2,15,RIR 5,45 sec,
4,Mon,Posterior Chain & Grip,1,Romanian Deadlift,2,8,RIR 5,90 sec,
4,Mon,Posterior Chain & Grip,2,Hip Thrust,2,8,RIR 5,90 sec,
4,Mon,Posterior Chain & Grip,3,Back Extension,2,12,RIR 5,60 sec,
4,Mon,Posterior Chain & Grip,4,Farmer's Carry,2,30m,RIR 5,60 sec,
4,Mon,Posterior Chain & Grip,5,Dead Hang,2,20 sec,RIR 5,45 sec,
4,Tue,Upper Body & Core,1,Bench Press,3,6,RIR 5,2 min,Optional day - skip entirely this week if recovery needs it more than the extra work.
4,Tue,Upper Body & Core,2,DB Shoulder Press,2,8,RIR 5,90 sec,
4,Tue,Upper Body & Core,3,Ab Wheel Rollout,2,8,RIR 5,60 sec,
4,Tue,Upper Body & Core,4,Zone 2 Cardio (bike/row),1,15 min,~60-70% max HR,,
4,Wed,Rest,,,,,,,
