Week,Day,Session,Order,Exercise,Sets,Reps,Intensity,Rest,Focus
3,Tue,Squat / Quad Emphasis,1,Zercher Squat,3,5,RIR 2,2-3 min,Quad strength — direct fix for knee-transition weak point (bonus: upper-back/anti-flexion carryover to deadlift lockout)
3,Tue,Squat / Quad Emphasis,2,Bulgarian Split Squat,3,8/leg,RIR 2,90s,Unilateral quad/glute
3,Tue,Squat / Quad Emphasis,3,Bench Press,3,5,RIR 2,2-3 min,Upper body push strength
3,Tue,Squat / Quad Emphasis,4,Face Pull,3,15,RIR 2,60s,Rear delt/upper back health
3,Wed,Rest,-,Rest,-,-,-,-,Full rest
3,Thu,Deadlift Technical + Pull,1,Deficit Deadlift,3,4,67.5% (159kg),3 min,Off-floor drive overload — feeds knee-transition strength
3,Thu,Deadlift Technical + Pull,2,Pull-up / Lat Pulldown,3,6,RIR 2,90s,Lat strength — bar path control
3,Thu,Deadlift Technical + Pull,3,Cable Lateral Raise,3,12,RIR 1-2,60s,Shoulder strength/size — replaces OHP
3,Thu,Deadlift Technical + Pull,4,Suitcase Carry,3,30m/side,-,60s,"Core anti-lateral-flexion, grip"
3,Fri,Posterior Chain / Hip-Glute,1,Romanian Deadlift,3,6,RIR 2,2-3 min,Posterior chain — hip hinge strength
3,Fri,Posterior Chain / Hip-Glute,2,Good Morning,3,6,RIR 2,2 min,Posterior chain — supports lockout
3,Fri,Posterior Chain / Hip-Glute,3,Hip Thrust,3,8,RIR 1-2,90s,Glute strength — lockout drive
3,Fri,Posterior Chain / Hip-Glute,4,Banded Lateral Walk,3,12/side,-,45s,Hip stability
3,Sat,Upper Body + Accessories,1,Incline Bench Press,3,5,RIR 2,2 min,Upper body push strength
3,Sat,Upper Body + Accessories,2,Chest-Supported Row,3,5,RIR 2,2 min,Upper body pull strength
3,Sat,Upper Body + Accessories,3,DB Lateral Raise,3,12,RIR 2,60s,Shoulder health/size
3,Sat,Upper Body + Accessories,4,EZ-Bar Curl + Triceps Pushdown,3,10,RIR 2,60s,Arm accessory work
3,Sun,Rest,-,Rest,-,-,-,-,Full rest
4,Mon,Deadlift Strength,1,Conventional Deadlift,3,5,60% (141kg),3-4 min,Main lift — primary strength driver
4,Mon,Deadlift Strength,2,Pause Deadlift (pause at knee),2,3,50% (118kg),3 min,Sticking-point overload — mid-shin/knee transition
4,Mon,Deadlift Strength,3,Barbell Row,3,8,RIR 4,90s,Lat/upper back — bar path control
4,Mon,Deadlift Strength,4,Weighted Plank,3,30s,-,60s,Core/bracing
4,Tue,Squat / Quad Emphasis,1,Zercher Squat,3,8,RIR 4,2-3 min,Quad strength — direct fix for knee-transition weak point (bonus: upper-back/anti-flexion carryover to deadlift lockout)
4,Tue,Squat / Quad Emphasis,2,Bulgarian Split Squat,3,10/leg,RIR 4,90s,Unilateral quad/glute
4,Tue,Squat / Quad Emphasis,3,Bench Press,3,8,RIR 4,2-3 min,Upper body push strength
4,Tue,Squat / Quad Emphasis,4,Face Pull,3,15,RIR 3,60s,Rear delt/upper back health
4,Wed,Rest,-,Rest,-,-,-,-,Full rest
4,Thu,Deadlift Technical + Pull,1,Deficit Deadlift,2,5,50% (118kg),3 min,Off-floor drive overload — feeds knee-transition strength
4,Thu,Deadlift Technical + Pull,2,Pull-up / Lat Pulldown,3,8,RIR 4,90s,Lat strength — bar path control
4,Thu,Deadlift Technical + Pull,3,Cable Lateral Raise,3,15,RIR 3,60s,Shoulder strength/size — replaces OHP
4,Thu,Deadlift Technical + Pull,4,Suitcase Carry,3,20m/side,-,60s,"Core anti-lateral-flexion, grip"
4,Fri,Posterior Chain / Hip-Glute,1,Romanian Deadlift,3,8,RIR 4,2-3 min,Posterior chain — hip hinge strength
4,Fri,Posterior Chain / Hip-Glute,2,Good Morning,3,8,RIR 4,2 min,Posterior chain — supports lockout
4,Fri,Posterior Chain / Hip-Glute,3,Hip Thrust,3,10,RIR 3,90s,Glute strength — lockout drive
4,Fri,Posterior Chain / Hip-Glute,4,Banded Lateral Walk,3,12/side,-,45s,Hip stability
4,Sat,Upper Body + Accessories,1,Incline Bench Press,3,8,RIR 4,2 min,Upper body push strength
4,Sat,Upper Body + Accessories,2,Chest-Supported Row,3,8,RIR 4,2 min,Upper body pull strength
4,Sat,Upper Body + Accessories,3,DB Lateral Raise,3,12,RIR 3,60s,Shoulder health/size
4,Sat,Upper Body + Accessories,4,EZ-Bar Curl + Triceps Pushdown,3,10,RIR 3,60s,Arm accessory work
4,Sun,Rest,-,Rest,-,-,-,-,Full rest
