Week,Day,Session,Order,Exercise,Sets,Reps,Intensity,Rest,Focus
11,Thu,Deadlift Technical + Pull,3,Cable Lateral Raise,2,12,RIR 2,60s,Shoulder strength/size — replaces OHP
11,Thu,Deadlift Technical + Pull,4,Suitcase Carry,2,25m/side,-,60s,"Core anti-lateral-flexion, grip — reduced"
11,Fri,Posterior Chain / Hip-Glute,1,Romanian Deadlift,2,5,RIR 2,2-3 min,Posterior chain — reduced sets
11,Fri,Posterior Chain / Hip-Glute,2,Good Morning,2,5,RIR 2,2 min,Posterior chain — supports lockout
11,Fri,Posterior Chain / Hip-Glute,3,Hip Thrust,2,6,RIR 2,90s,Glute strength — lockout drive
11,Fri,Posterior Chain / Hip-Glute,4,Banded Lateral Walk,2,12/side,-,45s,Hip stability
11,Sat,Upper Body + Accessories,1,Incline Bench Press,2,3,RIR 2,2 min,Upper body push strength
11,Sat,Upper Body + Accessories,2,Chest-Supported Row,2,3,RIR 2,2 min,Upper body pull strength
11,Sat,Upper Body + Accessories,3,DB Lateral Raise,2,12,RIR 2,60s,Shoulder health/size
11,Sat,Upper Body + Accessories,4,EZ-Bar Curl + Triceps Pushdown,2,10,RIR 2,60s,Arm accessory work — taper
11,Sun,Rest,-,Rest,-,-,-,-,Full rest
12,Mon,Deadlift Strength — Deload,1,Conventional Deadlift,3,5,65% (153kg),2-3 min,"Deload — fatigue clears, movement quality only"
12,Mon,Deadlift Strength — Deload,2,Block Pull (from knee height),2,3,70% (164kg),2 min,"Light technical touch, no grinding"
12,Mon,Deadlift Strength — Deload,3,Barbell Row,3,8,RIR 4,90s,Lat/upper back — light
12,Mon,Deadlift Strength — Deload,4,Weighted Plank,3,30s,-,60s,Core/bracing — light
12,Tue,Squat / Quad Emphasis — Deload,1,Zercher Squat,3,6,RIR 4,2-3 min,Quad strength — direct fix for knee-transition weak point (bonus: upper-back/anti-flexion carryover to deadlift lockout)
12,Tue,Squat / Quad Emphasis — Deload,2,Bulgarian Split Squat,3,10/leg,RIR 4,90s,Unilateral quad/glute — light
12,Tue,Squat / Quad Emphasis — Deload,3,Bench Press,3,8,RIR 4,2-3 min,Upper body push — light
12,Tue,Squat / Quad Emphasis — Deload,4,Face Pull,3,15,RIR 3,60s,Rear delt/upper back health
12,Wed,Rest,-,Rest,-,-,-,-,Full rest
12,Thu,Deadlift Technical + Pull — Deload,1,Speed Pull (off floor),3,2,50% (118kg),2 min,Bar speed maintenance — light
12,Thu,Deadlift Technical + Pull — Deload,2,Pull-up / Lat Pulldown,3,8,RIR 4,90s,Lat strength — light
12,Thu,Deadlift Technical + Pull — Deload,3,Cable Lateral Raise,3,15,RIR 3,60s,Shoulder strength/size — replaces OHP
12,Thu,Deadlift Technical + Pull — Deload,4,Suitcase Carry,3,20m/side,-,60s,Core/grip — light
12,Fri,Posterior Chain / Hip-Glute — Deload,1,Romanian Deadlift,3,8,RIR 4,2-3 min,Posterior chain — light
12,Fri,Posterior Chain / Hip-Glute — Deload,2,Good Morning,3,8,RIR 4,2 min,Posterior chain — light
12,Fri,Posterior Chain / Hip-Glute — Deload,3,Hip Thrust,3,10,RIR 3,90s,Glute strength — light
12,Fri,Posterior Chain / Hip-Glute — Deload,4,Banded Lateral Walk,3,12/side,-,45s,Hip stability
12,Sat,Upper Body + Accessories — Deload,1,Incline Bench Press,3,8,RIR 4,2 min,Upper body push — light
12,Sat,Upper Body + Accessories — Deload,2,Chest-Supported Row,3,8,RIR 4,2 min,Upper body pull — light
12,Sat,Upper Body + Accessories — Deload,3,DB Lateral Raise,3,12,RIR 3,60s,Shoulder health/size
12,Sat,Upper Body + Accessories — Deload,4,EZ-Bar Curl + Triceps Pushdown,3,10,RIR 3,60s,Arm accessory work
12,Sun,Rest,-,Rest,-,-,-,-,Full rest
