Week,Day,Session,Order,Exercise,Sets,Reps,Intensity,Rest,Focus
7,Mon,Deadlift Strength,4,Weighted Plank,3,50s,-,60s,Core/bracing
7,Tue,Squat / Quad Emphasis,1,Box Squat,3,4,RIR 1-2,2-3 min,"Hip/glute power — explosive drive off a dead stop, conjugate rotation from Zercher Squat"
7,Tue,Squat / Quad Emphasis,2,Bulgarian Split Squat,3,6/leg,RIR 1-2,90s,Unilateral quad/glute
7,Tue,Squat / Quad Emphasis,3,Bench Press,3,4,RIR 1-2,2-3 min,Upper body push strength
7,Tue,Squat / Quad Emphasis,4,Face Pull,3,15,RIR 2,60s,Rear delt/upper back health
7,Wed,Rest,-,Rest,-,-,-,-,Full rest
7,Thu,Deadlift Technical + Pull,1,Deficit Deadlift,3,3,72.5% (170kg),3 min,Off-floor drive overload — feeds knee-transition strength
7,Thu,Deadlift Technical + Pull,2,Pull-up / Lat Pulldown,3,5,RIR 1-2,90s,Lat strength — bar path control
7,Thu,Deadlift Technical + Pull,3,Cable Lateral Raise,3,12,RIR 1,60s,Shoulder strength/size — replaces OHP
7,Thu,Deadlift Technical + Pull,4,Suitcase Carry,3,35m/side,-,60s,"Core anti-lateral-flexion, grip"
7,Fri,Posterior Chain / Hip-Glute,1,Romanian Deadlift,3,5,RIR 1-2,2-3 min,Posterior chain — hip hinge strength
7,Fri,Posterior Chain / Hip-Glute,2,Good Morning,3,5,RIR 1-2,2 min,Posterior chain — supports lockout
7,Fri,Posterior Chain / Hip-Glute,3,Hip Thrust,3,6,RIR 1,90s,Glute strength — lockout drive
7,Fri,Posterior Chain / Hip-Glute,4,Banded Lateral Walk,3,12/side,-,45s,Hip stability
7,Sat,Upper Body + Accessories,1,Incline Bench Press,3,4,RIR 1-2,2 min,Upper body push strength
7,Sat,Upper Body + Accessories,2,Chest-Supported Row,3,4,RIR 1-2,2 min,Upper body pull strength
7,Sat,Upper Body + Accessories,3,DB Lateral Raise,3,12,RIR 2,60s,Shoulder health/size
7,Sat,Upper Body + Accessories,4,EZ-Bar Curl + Triceps Pushdown,3,10,RIR 2,60s,Arm accessory work
7,Sun,Rest,-,Rest,-,-,-,-,Full rest
8,Mon,Deadlift Strength,1,Conventional Deadlift,3,5,62.5% (147kg),3-4 min,Main lift — primary strength driver
8,Mon,Deadlift Strength,2,Pause Deadlift (pause at knee),2,3,55% (129kg),3 min,Sticking-point overload — mid-shin/knee transition
8,Mon,Deadlift Strength,3,Barbell Row,3,8,RIR 4,90s,Lat/upper back — bar path control
8,Mon,Deadlift Strength,4,Weighted Plank,3,35s,-,60s,Core/bracing
8,Tue,Squat / Quad Emphasis,1,Box Squat,3,8,RIR 4,2-3 min,"Hip/glute power — explosive drive off a dead stop, conjugate rotation from Zercher Squat"
8,Tue,Squat / Quad Emphasis,2,Bulgarian Split Squat,3,10/leg,RIR 4,90s,Unilateral quad/glute
8,Tue,Squat / Quad Emphasis,3,Bench Press,3,8,RIR 4,2-3 min,Upper body push strength
8,Tue,Squat / Quad Emphasis,4,Face Pull,3,15,RIR 3,60s,Rear delt/upper back health
8,Wed,Rest,-,Rest,-,-,-,-,Full rest
8,Thu,Deadlift Technical + Pull,1,Deficit Deadlift,2,5,55% (129kg),3 min,Off-floor drive overload — feeds knee-transition strength
8,Thu,Deadlift Technical + Pull,2,Pull-up / Lat Pulldown,3,8,RIR 4,90s,Lat strength — bar path control
8,Thu,Deadlift Technical + Pull,3,Cable Lateral Raise,3,15,RIR 3,60s,Shoulder strength/size — replaces OHP
8,Thu,Deadlift Technical + Pull,4,Suitcase Carry,3,20m/side,-,60s,"Core anti-lateral-flexion, grip"
8,Fri,Posterior Chain / Hip-Glute,1,Romanian Deadlift,3,8,RIR 4,2-3 min,Posterior chain — hip hinge strength
8,Fri,Posterior Chain / Hip-Glute,2,Good Morning,3,8,RIR 4,2 min,Posterior chain — supports lockout
8,Fri,Posterior Chain / Hip-Glute,3,Hip Thrust,3,10,RIR 3,90s,Glute strength — lockout drive
8,Fri,Posterior Chain / Hip-Glute,4,Banded Lateral Walk,3,12/side,-,45s,Hip stability
8,Sat,Upper Body + Accessories,1,Incline Bench Press,3,8,RIR 4,2 min,Upper body push strength
8,Sat,Upper Body + Accessories,2,Chest-Supported Row,3,8,RIR 4,2 min,Upper body pull strength
8,Sat,Upper Body + Accessories,3,DB Lateral Raise,3,12,RIR 3,60s,Shoulder health/size
8,Sat,Upper Body + Accessories,4,EZ-Bar Curl + Triceps Pushdown,3,10,RIR 3,60s,Arm accessory work
8,Sun,Rest,-,Rest,-,-,-,-,Full rest
