Week,Day,Session,Order,Exercise,Sets,Reps,Intensity,Rest,Notes
2,Mon,Lower Strength + Power,6,Bulgarian Split Squat,3,8/leg,RIR 2-3,60-90s,Accessory - hold
2,Mon,Lower Strength + Power,7,Pallof Press,3,10/side,-,45s,Core - hold
2,Tue,Capacity - Aerobic,1,Easy Warm-up,-,-,-,-,5 min
2,Tue,Capacity - Aerobic,2,Zone 2 Continuous (bike/rower/ski erg/treadmill),1,40 min,60-70% HRmax,-,Volume lever - +5 min
2,Tue,Capacity - Aerobic,3,Cool-down + Mobility,-,-,-,-,5 min
2,Wed,Upper Strength + Power,1,Shoulder/T-spine Mobility + Band Work,-,-,-,-,5-8 min
2,Wed,Upper Strength + Power,2,Med Ball Rotational Throw,4,3-5,Max intent,Full recovery,Power - hold
2,Wed,Upper Strength + Power,3,Bench Press,5,4,RIR 2-3,2-3 min,Main lift - +1 set (volume lever)
2,Wed,Upper Strength + Power,4,Weighted Pull-up or Row,4,6-8,RIR 2-3,90s,Secondary - +1 set
2,Wed,Upper Strength + Power,5,DB Shoulder Press,3,8,RIR 2-3,60-90s,Accessory - hold
2,Wed,Upper Strength + Power,6,Face Pull,3,12-15,-,45s,Accessory - hold
2,Wed,Upper Strength + Power,7,Hanging Leg Raise,3,10,-,45s,Core - hold
2,Thu,Capacity - Anaerobic,1,Progressive Warm-up,-,-,-,-,5-8 min
2,Thu,Capacity - Anaerobic,2,Max Effort Intervals (bike/ski erg/shuttle/treadmill),9,30s,Max effort,120-150s easy,Volume lever - +1 rep
2,Thu,Capacity - Anaerobic,3,Cool-down + Stretch,-,-,-,-,5-10 min
2,Fri,Lower Strength + Power #2,1,Mobility Warm-up + Change of Direction Drills,5-6 reps,-,Full effort,Full recovery,Speed/agility primer - hold
2,Fri,Lower Strength + Power #2,2,Broad Jump or Single-leg Bound,4,3,Max intent,2-3 min,Power - hold
2,Fri,Lower Strength + Power #2,3,Trap Bar / Conventional Deadlift,5,4,RIR 2-3,2-3 min,Main lift - +1 set (volume lever)
2,Fri,Lower Strength + Power #2,4,Front Squat or Goblet Squat,4,6-8,RIR 2-3,90s,Secondary - +1 set
2,Fri,Lower Strength + Power #2,5,Hip Thrust,3,10,RIR 2-3,60-90s,Accessory - hold
2,Fri,Lower Strength + Power #2,6,Side Plank,3,30-45s/side,-,45s,Core - hold
2,Sat,Upper Strength + Power #2,1,Mobility Warm-up,-,-,-,-,5-8 min
2,Sat,Upper Strength + Power #2,2,Overhead Med Ball Throw or Plyo Push-up,4,3-5,Max intent,Full recovery,Power - hold
2,Sat,Upper Strength + Power #2,3,Overhead Press,5,4,RIR 2-3,2-3 min,Main lift - +1 set (volume lever)
2,Sat,Upper Strength + Power #2,4,Chin-up or Lat Pulldown,4,6-8,RIR 2-3,90s,Secondary - +1 set
2,Sat,Upper Strength + Power #2,5,Incline DB Press or Dips,3,8,RIR 2-3,60-90s,Accessory - hold
2,Sat,Upper Strength + Power #2,6,Band Pull-apart,3,12-15,-,45s,Accessory - hold
2,Sat,Upper Strength + Power #2,7,Rollout or Dead Bug,3,10,-,45s,Core - hold
3,Mon,Lower Strength + Power,1,Mobility Warm-up (hip/ankle/T-spine),-,-,-,-,5-8 min
3,Mon,Lower Strength + Power,2,Sprint Acceleration Drill,4,15-20m,Full effort,Full recovery,Speed primer - hold, chase quality
3,Mon,Lower Strength + Power,3,Box Jump / Squat Jump,4,3,Max intent,2-3 min,Power - hold
3,Mon,Lower Strength + Power,4,Back Squat,4,3,RIR 1-2 (~+5% load),2-3 min,Main lift - load/intensity lever (peak)
3,Mon,Lower Strength + Power,4b,Back Squat - Top Set,1,2,RIR 1,-,Optional top double
3,Mon,Lower Strength + Power,5,RDL or Good Morning,4,6-8,RIR 2-3,90s,Secondary - hold volume from wk2
3,Mon,Lower Strength + Power,6,Bulgarian Split Squat,3,8/leg,RIR 2-3,60-90s,Accessory - hold
3,Mon,Lower Strength + Power,7,Pallof Press,3,10/side,-,45s,Core - hold
3,Tue,Capacity - Aerobic,1,Easy Warm-up,-,-,-,-,5 min
3,Tue,Capacity - Aerobic,2,Zone 2 Continuous (bike/rower/ski erg/treadmill),1,45 min,60-70% HRmax,-,Volume lever - peak week
3,Tue,Capacity - Aerobic,3,Cool-down + Mobility,-,-,-,-,5 min
3,Wed,Upper Strength + Power,1,Shoulder/T-spine Mobility + Band Work,-,-,-,-,5-8 min
3,Wed,Upper Strength + Power,2,Med Ball Rotational Throw,4,3-5,Max intent,Full recovery,Power - hold
3,Wed,Upper Strength + Power,3,Bench Press,4,3,RIR 1-2 (~+5% load),2-3 min,Main lift - load/intensity lever (peak)
3,Wed,Upper Strength + Power,3b,Bench Press - Top Set,1,2,RIR 1,-,Optional top double
3,Wed,Upper Strength + Power,4,Weighted Pull-up or Row,4,6-8,RIR 2-3,90s,Secondary - hold volume from wk2
3,Wed,Upper Strength + Power,5,DB Shoulder Press,3,8,RIR 2-3,60-90s,Accessory - hold
3,Wed,Upper Strength + Power,6,Face Pull,3,12-15,-,45s,Accessory - hold
3,Wed,Upper Strength + Power,7,Hanging Leg Raise,3,10,-,45s,Core - hold
3,Thu,Capacity - Anaerobic,1,Progressive Warm-up,-,-,-,-,5-8 min
3,Thu,Capacity - Anaerobic,2,Max Effort Intervals (bike/ski erg/shuttle/treadmill),10,30s,Max effort,90-120s easy,Density lever - peak week (less rest)
3,Thu,Capacity - Anaerobic,3,Cool-down + Stretch,-,-,-,-,5-10 min
3,Fri,Lower Strength + Power #2,1,Mobility Warm-up + Change of Direction Drills,5-6 reps,-,Full effort,Full recovery,Speed/agility primer - hold
3,Fri,Lower Strength + Power #2,2,Broad Jump or Single-leg Bound,4,3,Max intent,2-3 min,Power - hold
3,Fri,Lower Strength + Power #2,3,Trap Bar / Conventional Deadlift,4,3,RIR 1-2 (~+5% load),2-3 min,Main lift - load/intensity lever (peak)
3,Fri,Lower Strength + Power #2,3b,Deadlift - Top Set,1,2,RIR 1,-,Optional top double
3,Fri,Lower Strength + Power #2,4,Front Squat or Goblet Squat,4,6-8,RIR 2-3,90s,Secondary - hold volume from wk2
3,Fri,Lower Strength + Power #2,5,Hip Thrust,3,10,RIR 2-3,60-90s,Accessory - hold
3,Fri,Lower Strength + Power #2,6,Side Plank,3,30-45s/side,-,45s,Core - hold
3,Sat,Upper Strength + Power #2,1,Mobility Warm-up,-,-,-,-,5-8 min
3,Sat,Upper Strength + Power #2,2,Overhead Med Ball Throw or Plyo Push-up,4,3-5,Max intent,Full recovery,Power - hold
3,Sat,Upper Strength + Power #2,3,Overhead Press,4,3,RIR 1-2 (~+5% load),2-3 min,Main lift - load/intensity lever (peak)
3,Sat,Upper Strength + Power #2,3b,Overhead Press - Top Set,1,2,RIR 1,-,Optional top double
3,Sat,Upper Strength + Power #2,4,Chin-up or Lat Pulldown,4,6-8,RIR 2-3,90s,Secondary - hold volume from wk2
3,Sat,Upper Strength + Power #2,5,Incline DB Press or Dips,3,8,RIR 2-3,60-90s,Accessory - hold
3,Sat,Upper Strength + Power #2,6,Band Pull-apart,3,12-15,-,45s,Accessory - hold
3,Sat,Upper Strength + Power #2,7,Rollout or Dead Bug,3,10,-,45s,Core - hold
4,Mon,Lower Strength + Power (Deload),1,Mobility Warm-up (hip/ankle/T-spine),-,-,-,-,5-8 min
4,Mon,Lower Strength + Power (Deload),2,Sprint Acceleration Drill,3,10-15m,Full effort,Full recovery,Speed primer - reduced volume
4,Mon,Lower Strength + Power (Deload),3,Box Jump / Squat Jump,3,3,Max intent,2-3 min,Power - reduced volume
4,Mon,Lower Strength + Power (Deload),4,Back Squat,3,4,RIR 4-5 (~65-70%),2-3 min,Main lift - deload, ~40% volume cut
4,Mon,Lower Strength + Power (Deload),5,RDL or Good Morning,3,6-8,RIR 4,90s,Secondary - deload
4,Mon,Lower Strength + Power (Deload),6,Bulgarian Split Squat,2,8/leg,RIR 4,60-90s,Accessory - deload
4,Mon,Lower Strength + Power (Deload),7,Pallof Press,2,10/side,-,45s,Core - deload
4,Tue,Capacity - Aerobic (Deload),1,Easy Warm-up,-,-,-,-,5 min
4,Tue,Capacity - Aerobic (Deload),2,Zone 2 Continuous (bike/rower/ski erg/treadmill),1,25-30 min,60-70% HRmax,-,Deload - easy
4,Tue,Capacity - Aerobic (Deload),3,Cool-down + Mobility,-,-,-,-,5 min
4,Wed,Upper Strength + Power (Deload),1,Shoulder/T-spine Mobility + Band Work,-,-,-,-,5-8 min
4,Wed,Upper Strength + Power (Deload),2,Med Ball Rotational Throw,3,3-5,Max intent,Full recovery,Power - reduced volume
4,Wed,Upper Strength + Power (Deload),3,Bench Press,3,4,RIR 4-5 (~65-70%),2-3 min,Main lift - deload
4,Wed,Upper Strength + Power (Deload),4,Weighted Pull-up or Row,3,6-8,RIR 4,90s,Secondary - deload
4,Wed,Upper Strength + Power (Deload),5,DB Shoulder Press,2,8,RIR 4,60-90s,Accessory - deload
4,Wed,Upper Strength + Power (Deload),6,Face Pull,2,12-15,-,45s,Accessory - deload
4,Wed,Upper Strength + Power (Deload),7,Hanging Leg Raise,2,10,-,45s,Core - deload
4,Thu,Capacity - Anaerobic (Deload),1,Progressive Warm-up,-,-,-,-,5-8 min
4,Thu,Capacity - Anaerobic (Deload),2,Sub-max Intervals (bike/ski erg/shuttle/treadmill),6,30s,Sub-max effort,150s+ easy,Deload - reduced volume and effort
4,Thu,Capacity - Anaerobic (Deload),3,Cool-down + Stretch,-,-,-,-,5-10 min
4,Fri,Lower Strength + Power #2 (Deload),1,Mobility Warm-up + Change of Direction Drills,3-4 reps,-,Full effort,Full recovery,Speed/agility primer - reduced volume
4,Fri,Lower Strength + Power #2 (Deload),2,Broad Jump or Single-leg Bound,3,3,Max intent,2-3 min,Power - reduced volume
4,Fri,Lower Strength + Power #2 (Deload),3,Trap Bar / Conventional Deadlift,3,4,RIR 4-5 (~65-70%),2-3 min,Main lift - deload
4,Fri,Lower Strength + Power #2 (Deload),4,Front Squat or Goblet Squat,3,6-8,RIR 4,90s,Secondary - deload
4,Fri,Lower Strength + Power #2 (Deload),5,Hip Thrust,2,10,RIR 4,60-90s,Accessory - deload
4,Fri,Lower Strength + Power #2 (Deload),6,Side Plank,2,30-45s/side,-,45s,Core - deload
4,Sat,Upper Strength + Power #2 (Deload),1,Mobility Warm-up,-,-,-,-,5-8 min
4,Sat,Upper Strength + Power #2 (Deload),2,Overhead Med Ball Throw or Plyo Push-up,3,3-5,Max intent,Full recovery,Power - reduced volume
4,Sat,Upper Strength + Power #2 (Deload),3,Overhead Press,3,4,RIR 4-5 (~65-70%),2-3 min,Main lift - deload
4,Sat,Upper Strength + Power #2 (Deload),4,Chin-up or Lat Pulldown,3,6-8,RIR 4,90s,Secondary - deload
4,Sat,Upper Strength + Power #2 (Deload),5,Incline DB Press or Dips,2,8,RIR 4,60-90s,Accessory - deload
4,Sat,Upper Strength + Power #2 (Deload),6,Band Pull-apart,2,12-15,-,45s,Accessory - deload
4,Sat,Upper Strength + Power #2 (Deload),7,Rollout or Dead Bug,2,10,-,45s,Core - deload
